MAV0,RMS0,VAR0,SSC0,WL0,ZC0,WAMP0,AR1C0,AR2C0,AR3C0,AR4C0,DELTAX0,DELTAY0,DELTAZ0,MAV1,RMS1,VAR1,SSC1,WL1,ZC1,WAMP1,AR1C1,AR2C1,AR3C1,AR4C1,DELTAX1,DELTAY1,DELTAZ1,MOTION,
19.4395,24.9744,623.7183,36.0459,25911.9978,9.4905,23.2767,1.2628,-0.8989,0.7027,-0.3302,0.5237,-0.8372,-0.3051,27.6870,35.1300,1234.1183,43.4631,48427.4305,20.9685,42.1368,0.9992,-0.7589,0.5702,-0.2654,-0.2626,-1.0619,-1.0179,SU
29.0143,39.8341,1586.7546,36.7000,36077.0989,13.1066,36.3682,1.3465,-0.9706,0.7601,-0.3657,-40.3423,15.3324,2.9690,41.5830,55.0049,3025.5363,45.6088,79397.8830,25.3120,57.3140,0.9569,-0.8319,0.6118,-0.3034,76.7871,-15.3734,21.3453,SU
26.6319,35.6282,1269.2142,35.5467,33485.1835,12.8372,34.2657,1.3061,-0.9206,0.7300,-0.3572,-1.8273,-0.4872,-0.0707,41.2059,53.7947,2893.8650,45.1774,74314.6198,23.7000,55.9500,0.9760,-0.7896,0.5775,-0.3029,-0.0979,1.1192,0.3955,SU
20.2415,26.9860,728.2431,38.4036,31834.0042,14.6660,31.8935,1.1527,-0.8648,0.6033,-0.2741,-37.6287,21.0281,-1.1820,48.5970,66.6678,4444.5838,43.4652,93394.1334,26.0521,61.4729,0.9912,-0.9290,0.5524,-0.3035,73.8008,-14.5923,25.1289,SU
17.7820,24.6747,608.8389,36.2043,26371.1356,12.5752,24.6994,1.2077,-0.8526,0.6825,-0.3120,-0.0942,-0.1997,-0.0066,44.9462,59.3209,3518.9652,43.3915,82825.8324,24.6008,60.3293,1.0797,-0.9889,0.6239,-0.3262,-2.5819,-0.9783,-0.8938,SU
18.1874,24.9137,620.6888,35.8000,26426.6915,12.2561,24.2121,1.2521,-0.9120,0.6971,-0.3122,-0.4848,0.0424,0.0890,43.4673,58.0784,3373.0907,42.0659,79390.9353,24.8627,59.4608,1.0961,-1.0094,0.6461,-0.3416,-0.9855,-0.6971,-0.0038,SU
14.4229,19.7633,390.5892,32.0200,26636.9017,13.3234,24.7505,1.0145,-0.8646,0.5403,-0.3069,-50.7099,20.1023,-0.1017,37.1875,51.6175,2664.3656,38.7000,70909.4624,21.8609,48.1241,0.9552,-0.9083,0.5517,-0.2854,88.0791,-13.2964,22.5417,SU
14.8885,19.2684,371.2708,35.0500,26183.1813,13.6568,23.7119,1.0209,-0.8278,0.5538,-0.2781,-4.0400,-0.1190,0.2626,40.4417,54.1858,2936.0819,42.5150,75746.1705,23.8642,55.0674,0.9892,-0.9096,0.5819,-0.2882,1.7589,-0.1625,2.2360,SU
11.9725,15.4524,238.7753,33.7824,20038.9196,8.0879,13.4299,1.0771,-0.8120,0.5727,-0.2917,-0.4325,0.2207,0.1631,28.4080,38.4677,1479.7503,39.3924,48657.0868,17.6881,38.4155,1.0989,-0.9412,0.6382,-0.2964,-1.9044,0.5705,0.9675,SU
47.8304,66.2007,4382.4942,38.4500,70769.7563,19.3097,58.1791,1.2755,-1.0240,0.6545,-0.3742,-2.4438,-0.1392,-0.5292,64.4264,91.2783,8331.6568,30.8463,73671.9716,12.8758,51.4529,1.5984,-1.3429,0.8444,-0.4097,11.4867,58.9435,6.5905,HC
