MAV0,RMS0,VAR0,SSC0,WL0,ZC0,WAMP0,AR1C0,AR2C0,AR3C0,AR4C0,DELTAX0,DELTAY0,DELTAZ0,MAV1,RMS1,VAR1,SSC1,WL1,ZC1,WAMP1,AR1C1,AR2C1,AR3C1,AR4C1,DELTAX1,DELTAY1,DELTAZ1,MOTION,FOLDNO
25.6322,32.5402,1058.7066,31.0000,7686.4521,19.0381,71.9439,1.4454,-1.0830,0.7088,-0.4180,-0.2818,0.1228,-0.2765,10.1274,12.8259,164.5037,32.4000,3750.3530,21.6433,57.3146,1.1312,-0.7929,0.4887,-0.3564,0.3809,-0.1533,-0.2707,EF,2
17.0930,24.6665,608.3517,30.4000,4963.0174,16.2325,52.5050,1.4654,-1.0566,0.6606,-0.3159,-7.0754,-2.4347,7.3096,6.3835,8.1109,65.7863,30.4000,2375.5459,15.0301,40.0802,1.0488,-0.6333,0.5022,-0.3340,5.3827,-1.6158,13.7910,EF,3
20.3155,26.0925,680.8206,28.6000,5312.4852,13.2265,59.1182,1.5555,-1.2014,0.7658,-0.3400,-11.7921,-10.0124,24.3407,7.1735,8.8692,78.6621,30.4000,2502.1696,16.0321,45.0902,1.1082,-0.6893,0.5724,-0.3301,5.3295,-1.0572,34.5591,EF,3
23.0998,29.4062,864.4932,28.4000,5904.6079,13.4269,61.3226,1.5830,-1.2407,0.8225,-0.4273,-9.4769,-16.3087,32.6479,8.3131,10.3848,107.8348,27.2000,2619.5357,17.6353,45.2906,1.1675,-0.6711,0.4963,-0.3233,1.4501,4.3512,38.9862,EF,3
31.2331,39.1943,1536.1920,30.0000,8071.4545,15.6313,70.9419,1.6588,-1.3898,0.9087,-0.4291,-6.5892,-18.6567,32.4889,9.7591,12.3082,151.4863,27.6000,2991.7030,17.6353,48.8978,1.1954,-0.6624,0.4354,-0.2988,-0.8521,8.5645,37.2031,EF,3
37.8249,47.0401,2212.7653,32.2000,9927.1072,16.2325,76.5531,1.6421,-1.3581,0.8510,-0.4083,-3.9302,-23.9312,43.7526,13.4958,17.1175,292.9969,30.4000,3762.5524,14.4289,57.1142,1.3895,-0.9393,0.6269,-0.3649,-5.4357,12.3095,48.6451,EF,3
41.3332,51.9473,2698.5170,30.2000,10976.3451,16.6333,79.5591,1.5855,-1.2200,0.7354,-0.3989,0.4442,-24.3590,46.5041,16.2771,20.1997,408.0238,30.2000,4536.9909,14.6293,65.5311,1.4751,-1.0794,0.6561,-0.3666,-9.6435,14.0919,48.6666,EF,3
38.0662,48.6243,2363.9052,28.0000,10750.4359,18.0361,79.1583,1.5979,-1.2538,0.7400,-0.3807,3.4185,-14.6338,29.5709,16.1576,20.0352,401.3799,30.2000,4867.0096,17.6353,67.5351,1.4520,-1.1075,0.6394,-0.3556,-8.5282,9.4528,29.7430,EF,3
36.8153,47.1379,2221.7196,31.2000,10663.7001,18.8377,80.1603,1.5699,-1.2369,0.7146,-0.3390,3.1332,-6.7915,16.1162,15.8400,19.6649,386.7050,32.4000,5006.2812,20.0401,66.9339,1.3894,-1.0610,0.6412,-0.3652,-4.9416,4.2285,18.6060,EF,3
36.3490,47.3737,2243.9583,32.6000,10914.4389,18.4369,78.9579,1.5105,-1.1674,0.6571,-0.3249,3.5556,-3.6438,12.4468,14.7299,18.7691,352.2781,34.0000,5370.9621,24.2485,69.1383,1.3713,-1.1602,0.7083,-0.3798,-4.8033,0.3038,16.9355,EF,3
31.2354,40.3753,1630.1490,34.6000,9794.3662,17.0341,73.7475,1.4974,-1.2346,0.7543,-0.3768,3.8119,-2.0775,9.8670,14.6876,18.5389,343.6885,33.8000,5570.7056,23.8477,71.9439,1.3435,-1.2027,0.7547,-0.4359,-4.5076,-0.4128,12.4284,EF,3
30.3060,38.2302,1461.4546,33.0000,9091.3177,16.0321,73.5471,1.5921,-1.3976,0.9395,-0.4617,1.9930,-0.5359,4.6075,14.1008,18.1983,331.1735,34.8000,5238.3934,21.0421,69.7395,1.3399,-1.1526,0.7749,-0.4473,-1.4164,0.2859,4.5907,EF,3
29.7594,38.2615,1463.8556,31.2000,9528.6630,18.6373,75.3507,1.5439,-1.3210,0.8310,-0.4173,-0.2103,0.3402,0.8797,13.1340,16.8906,285.2903,37.2000,4999.3543,22.0441,67.7355,1.2380,-0.9637,0.6205,-0.3571,0.3403,0.4839,1.2868,EF,3
27.9187,37.3493,1394.9439,32.6000,9088.6414,20.4409,72.5451,1.5301,-1.2645,0.7717,-0.3893,-0.1173,0.2693,0.1713,11.7329,14.5491,211.6605,40.4000,4630.9885,22.6453,67.3347,1.1067,-0.8054,0.5158,-0.3607,0.0952,-0.2533,1.2616,EF,3
31.9449,42.4360,1800.4389,32.4000,9511.2577,18.0361,73.5471,1.5913,-1.3470,0.8603,-0.4109,-0.0360,0.2573,0.1947,11.9602,15.2180,231.5822,38.4000,4791.2644,21.6433,68.5371,1.2200,-1.0183,0.6624,-0.4278,0.3671,-1.3339,1.6288,EF,3
