MAV0,RMS0,VAR0,SSC0,WL0,ZC0,WAMP0,AR1C0,AR2C0,AR3C0,AR4C0,DELTAX0,DELTAY0,DELTAZ0,MAV1,RMS1,VAR1,SSC1,WL1,ZC1,WAMP1,AR1C1,AR2C1,AR3C1,AR4C1,DELTAX1,DELTAY1,DELTAZ1,MOTION,FOLDNO
17.0131,25.5128,650.8317,27.8000,5385.4989,14.4289,35.8717,1.4153,-1.0156,0.6519,-0.3964,-0.1871,0.1751,-0.1405,2.9100,3.6229,13.1249,29.0000,1600.7366,9.6192,12.2244,0.6673,-0.5208,0.4794,-0.2810,0.2010,-0.0437,-0.1664,EF,2
20.5390,30.1897,911.3797,28.8000,6617.7252,15.4309,43.2866,1.4571,-1.1121,0.6514,-0.3503,-0.1630,0.0002,-0.0464,3.2708,4.1644,17.3415,29.6000,1764.2818,10.8216,14.8297,0.7046,-0.5707,0.3975,-0.2309,0.2820,-0.1936,0.0798,EF,2
36.7615,50.9316,2593.9666,30.4000,10963.4951,17.0341,63.5271,1.6021,-1.3212,0.8017,-0.3667,-2.4032,0.2040,4.6067,6.4271,9.1718,84.1175,30.8000,2669.2126,14.8297,31.6633,1.1254,-0.8484,0.5824,-0.3349,3.7054,-5.6467,6.9741,EF,2
52.9066,67.4894,4554.8204,29.8000,14321.2249,16.4329,73.3467,1.6771,-1.4375,0.9113,-0.4195,-7.8788,0.1908,17.7525,10.3921,14.0956,198.6821,31.2000,3392.6260,14.8297,41.2826,1.3326,-0.9787,0.6479,-0.3287,6.7014,-10.9033,22.2069,EF,2
54.4937,67.6659,4578.6060,30.8000,14367.1438,16.0321,73.5471,1.6662,-1.4024,0.8808,-0.4077,-8.9277,-0.9988,30.0522,11.9116,15.6696,245.5361,30.0000,3507.2271,13.2265,43.8878,1.4175,-1.0426,0.6578,-0.3130,4.1206,-9.7269,32.8214,EF,2
52.9405,66.2273,4385.9549,32.4000,14549.6202,15.6313,73.5471,1.6308,-1.3621,0.8257,-0.3432,-4.8371,-2.4694,35.4960,12.4107,15.6782,245.7939,30.6000,3587.9428,12.8257,47.8958,1.3484,-0.9530,0.6830,-0.3654,0.7176,-7.6978,36.2084,EF,2
56.1495,73.5518,5408.8258,31.0000,16236.6259,18.0361,76.1523,1.6784,-1.4342,0.7997,-0.3178,-0.9776,-2.3750,37.0735,12.0185,14.9742,224.1781,33.6000,3642.5852,14.6293,49.4990,1.3234,-0.9327,0.7049,-0.3871,-1.2106,-6.5934,37.8858,EF,2
69.9242,95.4835,9116.9745,29.2000,20370.8864,19.2385,79.5591,1.6939,-1.4325,0.7568,-0.3135,-0.0954,-0.6495,33.2688,12.7730,15.8302,250.5792,33.0000,3908.9458,16.0321,53.3066,1.3089,-0.8742,0.5805,-0.3004,1.1811,-5.6646,35.4451,EF,2
82.5755,111.1107,12345.5574,30.2000,25404.4765,18.8377,81.5631,1.5076,-1.2350,0.6424,-0.2962,0.8966,0.1826,30.7740,15.0048,18.4523,340.4247,32.8000,4460.2993,15.6313,56.3126,1.3207,-0.9112,0.6340,-0.3504,2.9214,-5.5746,35.0651,EF,2
78.0080,105.4530,11120.0610,31.6000,26493.0360,21.0421,81.5631,1.4104,-1.1743,0.6383,-0.3295,5.7286,0.5798,28.0616,32.3047,47.5621,2262.0289,35.2000,9596.9009,17.4349,70.7415,1.1983,-0.6864,0.4592,-0.3627,-0.8338,-5.2662,31.2043,EF,2
67.2031,90.9339,8268.8774,34.8000,23965.0896,21.6433,80.5611,1.4455,-1.2126,0.6738,-0.3268,8.0630,0.9920,20.0455,37.7441,51.7991,2683.1472,43.0000,14944.1432,27.0541,84.3687,0.9848,-0.5629,0.4979,-0.4192,-2.0261,-2.6038,12.9901,EF,2
65.7132,91.5725,8385.2415,36.4000,22814.4370,20.4409,80.7615,1.4488,-1.1947,0.5651,-0.2433,6.4184,1.3946,11.6877,26.0318,33.7953,1141.8413,52.8000,15302.2471,36.0721,86.1723,0.5795,-0.5093,0.4029,-0.3744,-0.3684,-0.8917,1.1294,EF,2
67.0438,93.2907,8702.9979,35.4000,23306.9242,21.0421,82.3647,1.4518,-1.2028,0.5377,-0.2274,4.2179,1.5776,4.6765,25.8570,33.0064,1089.4145,54.8000,14662.0232,35.8717,85.1703,0.6014,-0.5220,0.4076,-0.3585,0.6436,-0.9514,0.8326,EF,2
57.7271,77.0365,5934.5881,37.4000,21346.9976,22.8457,83.3667,1.3677,-1.1127,0.5161,-0.2478,1.8465,1.0075,1.0133,24.7677,31.6110,999.2077,52.8000,13933.8082,35.4709,83.9679,0.5945,-0.5116,0.3447,-0.2852,0.7957,-0.6261,0.2261,EF,2
48.1224,62.7212,3933.9538,36.2000,18381.6318,23.0461,80.1603,1.3496,-1.1452,0.6383,-0.3175,0.2349,0.5890,0.1680,23.5279,29.8923,893.4945,52.6000,13378.9140,35.6713,85.3707,0.5796,-0.4648,0.3527,-0.2861,0.3142,-0.2771,0.2648,EF,2
46.6729,61.1379,3737.7825,33.6000,17517.7568,22.2445,77.3547,1.4095,-1.2544,0.7408,-0.3574,-0.1026,0.3911,-0.0419,26.2010,32.4873,1055.4254,53.4000,14132.5832,35.6713,86.5731,0.6864,-0.5319,0.4668,-0.3434,0.2522,-0.1022,0.0299,EF,2
48.5562,64.3238,4137.3304,35.8000,16900.5846,20.6413,75.9519,1.4158,-1.2153,0.7043,-0.3264,0.0421,0.2766,0.0856,26.0526,32.5624,1060.2909,52.2000,14477.7580,37.8758,88.1764,0.6800,-0.5700,0.4529,-0.3331,0.2216,0.0052,-0.0300,EF,2
48.6056,64.9277,4215.5016,38.2000,17161.3906,21.4429,77.7555,1.3258,-1.0681,0.6345,-0.3354,0.0329,0.1182,0.1195,22.7521,29.2732,856.9171,53.0000,13492.8886,39.6794,85.9719,0.5612,-0.5052,0.4160,-0.3650,0.0778,0.0227,0.1197,EF,2
50.5831,67.4043,4543.2581,36.4000,18034.9856,21.8437,77.5551,1.3954,-1.1544,0.6730,-0.3321,-0.2750,0.1414,-0.1602,21.5788,28.0678,787.8033,56.2000,13086.2300,39.8798,83.7675,0.5102,-0.4358,0.3934,-0.3979,0.0242,0.1612,-0.1666,EF,2
50.2905,67.0442,4494.8791,35.0000,17164.1854,20.4409,74.9499,1.4818,-1.2482,0.7171,-0.3237,-0.2300,0.1447,-0.1639,23.2881,29.8958,893.7596,52.8000,13782.3614,38.0762,85.5711,0.5254,-0.4712,0.3322,-0.3506,0.0074,0.0569,-0.3923,EF,2
48.2417,63.4783,4029.0291,34.8000,16485.5333,20.8417,75.5511,1.4258,-1.1522,0.6611,-0.3343,-0.1763,0.0878,-0.0651,23.4769,29.9254,895.5132,50.2000,14300.2822,38.8778,86.5731,0.4999,-0.5203,0.3359,-0.3403,-0.0288,-0.1383,-0.2268,EF,2
48.3501,66.4062,4409.6554,35.2000,17090.4550,21.0421,75.3507,1.5037,-1.2964,0.7348,-0.3382,-0.2117,0.1232,-0.1443,24.4697,30.8877,954.0338,53.6000,14616.5205,40.2806,88.3768,0.5300,-0.5073,0.4027,-0.3153,-0.0422,-0.1708,-0.1264,EF,2
49.2050,70.6204,4985.9562,35.2000,17266.7911,21.0421,74.5491,1.5516,-1.3799,0.7781,-0.3386,-0.0468,0.1639,-0.3321,25.7406,32.0064,1024.4004,53.6000,14351.7035,38.0762,87.3747,0.6074,-0.5489,0.4158,-0.3112,-0.0570,-0.0931,-0.2527,EF,2
