MAV0,RMS0,VAR0,SSC0,WL0,ZC0,WAMP0,AR1C0,AR2C0,AR3C0,AR4C0,DELTAX0,DELTAY0,DELTAZ0,MAV1,RMS1,VAR1,SSC1,WL1,ZC1,WAMP1,AR1C1,AR2C1,AR3C1,AR4C1,DELTAX1,DELTAY1,DELTAZ1,MOTION,FOLDNO
14.2622,18.1819,330.3943,28.6000,3992.3208,11.0220,29.8597,1.3545,-0.9051,0.6338,-0.3486,-0.0756,-0.0577,0.0462,9.8513,12.5428,157.3158,39.2000,5088.5028,12.6253,17.6353,0.7202,-0.5508,0.4569,-0.3477,0.1239,-0.0005,0.1190,EF,3
18.7386,23.9926,575.6450,24.0000,4695.5764,10.0200,38.0762,1.4811,-1.0359,0.7271,-0.4026,-0.9353,-1.1469,3.2289,10.9298,13.9573,194.7908,42.2000,5628.8455,14.4289,22.6453,0.7133,-0.5106,0.4600,-0.3488,-0.4709,0.0772,4.1728,EF,3
21.8428,27.5005,756.1182,24.6000,5845.6665,13.6273,51.7034,1.5552,-1.2039,0.8137,-0.4324,-1.7711,-3.9252,11.9143,11.4931,14.6747,215.3439,46.0000,6098.5608,15.4309,26.4529,0.6800,-0.4881,0.4163,-0.3055,-3.3487,0.3355,13.1529,EF,3
20.6484,26.0428,678.2164,27.8000,6036.3619,15.4309,53.7074,1.5069,-1.1932,0.8192,-0.4462,-2.6363,-5.7193,17.9823,11.3824,14.5852,212.7151,48.8000,6542.6691,18.2365,29.2585,0.6501,-0.5821,0.4595,-0.3345,-4.9090,-0.2048,19.1499,EF,3
23.0234,28.9239,836.5568,27.4000,6205.4314,13.4269,51.3026,1.4852,-1.0938,0.7404,-0.4200,-2.0912,-6.1004,20.2451,12.0911,15.4743,239.4539,47.8000,6642.4069,19.8397,31.4629,0.6867,-0.5362,0.4744,-0.3310,-6.1452,-0.6637,20.4690,EF,3
26.1515,33.5620,1126.4015,26.6000,6962.1479,13.2265,56.9138,1.5098,-1.0577,0.6505,-0.3651,-1.1697,-6.8977,23.4210,12.8560,16.3537,267.4412,45.6000,6957.5482,20.4409,31.8637,0.6561,-0.5009,0.4167,-0.2840,-7.9261,-0.5752,22.7097,EF,3
31.4084,40.2095,1616.7120,26.6000,8487.9222,14.8297,64.9299,1.5729,-1.2259,0.7958,-0.4248,-1.0390,-9.9634,26.9306,14.0382,17.7801,316.1325,48.2000,8029.8672,23.2465,38.8778,0.5765,-0.5368,0.3550,-0.3006,-9.1430,1.7302,26.9237,EF,3
36.0276,45.4089,2061.7936,25.6000,9609.4618,15.4309,67.9359,1.6281,-1.3440,0.8638,-0.4612,1.2910,-11.2699,27.4369,15.0803,19.0369,362.3967,48.2000,8243.7908,24.2485,40.6814,0.6793,-0.5682,0.4415,-0.3752,-10.0621,2.5185,28.6425,EF,3
35.7354,45.1636,2039.7304,26.0000,10111.3924,16.8337,68.3367,1.6531,-1.3984,0.8269,-0.4235,2.4112,-9.1648,25.3277,16.0572,20.1393,405.5285,47.4000,8136.4171,23.0461,40.8818,0.7817,-0.5642,0.5324,-0.4313,-8.7804,0.8850,25.6827,EF,3
32.3383,40.8069,1665.1863,27.2000,9968.0617,19.6393,67.5351,1.5593,-1.3054,0.7685,-0.4026,1.5036,-7.6983,22.5371,16.4610,20.8236,433.6083,48.4000,8260.1893,20.6413,42.8858,0.7602,-0.4890,0.4921,-0.4350,-7.5727,1.2993,21.7070,EF,3
