MAV0,RMS0,VAR0,SSC0,WL0,ZC0,WAMP0,AR1C0,AR2C0,AR3C0,AR4C0,DELTAX0,DELTAY0,DELTAZ0,MAV1,RMS1,VAR1,SSC1,WL1,ZC1,WAMP1,AR1C1,AR2C1,AR3C1,AR4C1,DELTAX1,DELTAY1,DELTAZ1,MOTION,FOLDNO
18.7318,24.8493,617.4758,30.4000,5798.7023,13.2265,44.8898,1.4074,-1.0470,0.6723,-0.3655,-0.2053,0.0880,-0.3019,30.5025,39.3328,1547.0722,27.6000,8277.0565,16.2325,71.5431,1.5653,-1.2061,0.7430,-0.3589,-0.0684,-0.1362,0.2170,EF,2
18.0233,23.9586,574.0030,30.0000,5344.8940,13.0261,41.2826,1.4385,-1.0438,0.6317,-0.3250,-0.1940,0.0740,-0.2693,27.8165,35.4723,1258.2823,28.2000,7355.3296,14.4289,65.9319,1.4795,-1.0471,0.6536,-0.3509,-0.0426,-0.0032,-0.0163,EF,2
16.2785,21.7031,471.0203,32.2000,5089.8688,13.0261,40.4810,1.4156,-1.0554,0.6757,-0.3677,-0.2117,0.0138,-0.2195,25.9361,33.3904,1114.8515,28.6000,7083.3818,14.4289,68.7375,1.5221,-1.1280,0.7334,-0.3907,0.1852,-0.2816,-0.5304,EF,2
9.3388,14.2123,201.9769,24.0000,2793.7106,5.0100,14.0281,1.3357,-0.8205,0.6238,-0.4058,-1.3619,-4.6129,12.2463,5.7923,7.3651,54.2428,25.4000,2220.4281,9.4188,20.4409,1.0549,-0.6631,0.5082,-0.3483,-4.1055,1.8005,16.5644,EF,3
12.4786,16.2847,265.1636,25.4000,3525.6364,8.0160,23.4469,1.3510,-0.8889,0.6470,-0.3962,-1.8551,-11.5948,34.2331,5.5757,7.1419,51.0037,24.6000,2222.8705,9.8196,19.8397,1.0557,-0.7106,0.5685,-0.3672,-10.4843,1.2624,40.2118,EF,3
16.7179,20.8919,436.3831,26.8000,4414.5369,11.4228,34.6693,1.4479,-1.0315,0.7109,-0.3834,0.1008,-16.6825,48.3042,6.6537,8.7213,76.0565,28.0000,2725.1313,14.6293,28.6573,1.0484,-0.8044,0.5100,-0.3015,-15.0249,0.5775,52.4596,EF,3
21.7844,27.1481,737.0125,26.8000,5609.5086,12.8257,46.8938,1.5248,-1.1379,0.7409,-0.3800,1.5639,-20.7675,50.8044,8.5196,11.0154,121.3381,35.0000,3499.2412,18.4369,39.2786,1.1064,-0.8857,0.5455,-0.3294,-16.9516,2.9233,51.3235,EF,3
22.5523,28.0185,784.8572,28.2000,6164.2772,13.0261,51.9038,1.5133,-1.1574,0.7291,-0.3507,2.3072,-20.0861,46.6512,9.1543,11.7100,137.1227,36.4000,3872.2409,20.0401,41.8838,1.1524,-0.9541,0.6081,-0.3183,-15.4834,4.2561,44.5281,EF,3
22.0268,27.0346,730.7421,30.4000,6589.0537,15.0301,51.9038,1.4514,-1.1583,0.7174,-0.3238,1.3055,-17.5023,38.9029,30.0027,43.5217,1894.0132,30.2000,9193.0834,20.2405,61.3226,1.2116,-0.8108,0.4912,-0.3686,-10.7546,3.4258,36.6364,EF,3
23.0696,28.6589,821.2644,29.2000,7128.1919,16.6333,54.5090,1.4704,-1.2072,0.7555,-0.3764,-0.8940,-15.4745,30.6383,44.3121,53.4829,2860.4143,28.2000,13280.2463,19.0381,79.3587,1.2299,-0.8438,0.4926,-0.3607,-5.5423,3.2229,26.9179,EF,3
32.7720,41.9567,1760.1472,29.2000,9891.8839,17.2345,65.7315,1.6493,-1.4715,0.8905,-0.4009,-2.8212,-10.7591,19.8838,32.2764,40.4670,1637.2633,33.0000,10434.7822,20.2405,75.3507,1.3318,-1.0204,0.6130,-0.3611,-2.2967,2.3326,14.2549,EF,3
38.7835,49.5805,2458.2254,32.4000,12493.8168,18.4369,74.5491,1.6175,-1.4384,0.8584,-0.3936,-2.0969,-4.2166,7.5506,23.9165,30.9552,958.2063,37.8000,8270.2023,20.8417,71.3427,1.4334,-1.2066,0.7807,-0.3968,-1.0479,0.4945,3.6727,EF,3
31.0666,40.9374,1675.8694,31.0000,10177.9820,18.0361,65.9319,1.4848,-1.2294,0.7334,-0.3807,-0.5748,0.1219,0.5380,19.0855,23.9849,575.1002,37.6000,6862.7368,21.4429,67.9359,1.3863,-1.1698,0.7499,-0.3597,-0.3452,-0.1099,-0.0858,EF,3
26.9337,33.8523,1145.9764,29.6000,8214.5761,17.0341,61.5230,1.4472,-1.1235,0.6886,-0.3641,-0.3152,0.1494,-0.1669,19.4894,24.4721,598.8486,34.6000,6860.2912,21.6433,66.5331,1.3962,-1.1688,0.7348,-0.3287,-0.5055,-0.1971,-0.1214,EF,3
24.8739,31.0937,966.7909,30.6000,8104.1009,17.8357,63.7275,1.4796,-1.2195,0.7338,-0.3514,0.0278,0.0614,0.0321,25.4466,33.0652,1093.3069,29.4000,8074.2225,19.4389,69.5391,1.5429,-1.2992,0.7890,-0.3768,-0.4355,-0.2348,-0.4316,EF,3
23.7725,29.3752,862.8810,30.0000,7451.3870,17.0341,58.9178,1.5137,-1.2508,0.7497,-0.3677,-0.3025,0.3876,-0.1363,25.4395,33.5223,1123.7449,27.2000,7386.7699,17.6353,66.7335,1.5555,-1.2349,0.7510,-0.3753,-0.1730,-0.2724,-0.5322,EF,3
23.3190,29.2876,857.7433,29.4000,6935.0268,16.2325,55.9118,1.4920,-1.1606,0.6786,-0.3471,-0.2527,0.4880,-0.5378,23.4034,31.5474,995.2357,25.8000,6517.8213,16.0321,63.3267,1.5186,-1.1424,0.7637,-0.4191,-0.2089,-0.4085,-0.1670,EF,3
19.9899,25.8088,665.9241,31.2000,6388.5142,17.0341,54.3086,1.3902,-1.0102,0.6406,-0.3577,0.0171,0.2671,-0.2794,23.2082,31.8748,1015.9991,28.4000,6683.6486,15.4309,64.9299,1.5123,-1.1403,0.7671,-0.4241,-0.0909,-0.3124,-0.2066,EF,3
18.3756,24.0736,579.4949,33.8000,5888.2213,16.6333,50.3006,1.3485,-0.9578,0.6482,-0.3595,-0.0665,0.1722,-0.2055,26.4456,35.7009,1274.3906,32.0000,7249.3640,16.0321,66.9339,1.5334,-1.1612,0.7650,-0.4337,0.0440,-0.2214,-0.1086,EF,3
20.7388,27.9848,782.9871,33.2000,6302.3951,16.2325,49.4990,1.3905,-0.9973,0.6129,-0.3627,-0.1286,0.1902,-0.1797,30.3616,39.7487,1579.9603,28.4000,7804.5328,15.2305,68.9379,1.6557,-1.3512,0.8455,-0.4165,0.0409,-0.2059,0.1395,EF,3
21.2201,28.0887,788.9641,30.8000,6960.3834,19.2385,53.1062,1.4292,-1.1511,0.7332,-0.4119,-0.2184,0.0834,0.1035,31.3240,40.9367,1675.8091,27.6000,8285.0879,14.6293,72.9459,1.6273,-1.3141,0.8373,-0.4107,0.0952,-0.1693,0.3335,EF,3
20.9301,26.1614,684.3341,32.8000,7378.3113,21.8437,57.5150,1.4167,-1.2443,0.8280,-0.4058,-0.2194,0.0348,0.2148,31.4861,41.0070,1681.3016,29.0000,8261.6120,14.4289,71.9439,1.6023,-1.2519,0.8076,-0.4159,0.0309,-0.1388,-0.0022,EF,3
20.9989,26.0011,676.0554,36.0000,7014.4476,19.0381,54.9098,1.3583,-1.0990,0.7490,-0.3555,-0.1336,0.1185,-0.1254,29.1095,36.8956,1361.0638,29.4000,7454.5715,14.2285,67.9359,1.5617,-1.1931,0.7982,-0.4235,0.0476,-0.2358,-0.8060,EF,3
20.9931,25.5267,651.6058,32.0000,6306.2611,15.2305,51.7034,1.3976,-1.0597,0.7059,-0.3681,-0.1222,0.3671,-0.8229,23.8793,31.9951,1023.4157,28.4000,6244.2413,14.6293,60.7214,1.5035,-1.0788,0.7064,-0.3914,0.6851,-0.9448,-2.7484,EF,3
19.8332,25.3610,643.1748,29.2000,6022.4666,14.6293,49.2986,1.4321,-1.0791,0.6686,-0.3562,0.0890,1.6044,-3.1104,15.7737,22.9643,527.3190,31.2000,4797.5098,17.0341,50.5010,1.2592,-0.7400,0.5353,-0.3747,4.5229,-1.8441,-13.3950,EF,3
16.5499,21.9006,479.6129,29.0000,5228.3909,14.0281,40.2806,1.3372,-0.9647,0.6601,-0.3871,0.4489,7.3333,-12.8643,11.3787,14.6258,213.8683,37.2000,4263.2040,20.8417,49.4990,1.0129,-0.6388,0.5606,-0.3413,10.1480,-4.6150,-26.8005,EF,3
