MAV0,RMS0,VAR0,SSC0,WL0,ZC0,WAMP0,AR1C0,AR2C0,AR3C0,AR4C0,DELTAX0,DELTAY0,DELTAZ0,MAV1,RMS1,VAR1,SSC1,WL1,ZC1,WAMP1,AR1C1,AR2C1,AR3C1,AR4C1,DELTAX1,DELTAY1,DELTAZ1,MOTION,FOLDNO
11.5935,16.6816,278.2639,28.6000,3533.7251,14.4289,37.4749,1.4206,-0.9979,0.6424,-0.3510,-0.7614,-2.7559,7.0520,3.8282,5.0449,25.4495,26.4000,1933.0202,8.2164,13.2265,0.8301,-0.6481,0.4630,-0.2804,-0.6916,-1.7926,10.6465,EF,3
13.9888,17.9021,320.3897,29.0000,4149.0536,15.6313,47.2946,1.4296,-1.0583,0.7032,-0.3773,-0.9445,-8.2207,23.3550,7.1959,11.5768,134.0192,30.2000,2894.6748,12.2244,27.4549,1.2154,-0.8796,0.6492,-0.3308,-5.0224,-4.2206,29.0560,EF,3
15.3611,20.2542,410.2304,31.0000,4524.5504,15.6313,50.9018,1.4376,-1.0882,0.7918,-0.4195,-1.6078,-12.0583,35.2872,11.6848,18.5313,343.4092,30.6000,4126.2308,15.4309,40.0802,1.3294,-1.0003,0.7108,-0.4429,-8.4146,0.0672,38.1721,EF,3
18.7258,23.9564,573.8942,30.2000,5562.0055,16.2325,57.7154,1.4632,-1.1425,0.7808,-0.3896,-1.7417,-12.2516,36.7312,12.4031,18.4349,339.8383,33.4000,4572.6035,18.4369,45.6914,1.2529,-0.9632,0.7163,-0.4933,-9.6769,5.0974,37.5502,EF,3
19.6652,25.0310,626.5453,31.6000,6789.3407,20.6413,66.5331,1.4044,-1.1633,0.7584,-0.4013,-1.2246,-11.5940,38.2513,12.3682,17.5551,308.1777,36.4000,4637.9893,17.2345,47.6954,1.2506,-1.0021,0.7274,-0.4543,-10.8474,2.7945,39.5736,EF,3
24.1101,31.2237,974.7476,34.0000,7779.4468,20.8417,71.9439,1.4294,-1.1105,0.7218,-0.3874,-0.7068,-10.8234,39.2624,14.2217,20.2937,411.8328,35.8000,5147.7790,16.6333,52.5050,1.2719,-1.0212,0.7694,-0.4990,-9.3470,-0.5595,42.6456,EF,3
28.1901,35.4710,1258.1451,30.8000,8043.5345,17.6353,71.7435,1.4776,-1.0991,0.6643,-0.3667,-0.2290,-9.2947,33.0803,13.7864,18.6740,348.7126,38.0000,5575.1924,21.2425,58.1162,1.1793,-0.9828,0.7285,-0.4597,-6.4477,-1.6778,36.2131,EF,3
28.6560,35.6977,1274.1778,30.2000,8422.2617,17.8357,71.9439,1.4594,-1.1395,0.7178,-0.4130,-0.6605,-8.2501,22.8446,15.0056,21.1877,448.8658,39.0000,6149.6719,23.0461,60.1202,1.2081,-1.0158,0.7403,-0.4950,-4.4035,-0.3426,28.0305,EF,3
28.1797,35.9378,1291.5145,32.2000,8764.5164,19.2385,73.9479,1.4661,-1.1852,0.7726,-0.4154,-0.6303,-4.8141,11.1567,16.6455,23.1697,536.8216,36.0000,6640.6751,22.2445,61.1222,1.2477,-1.0906,0.7837,-0.5309,-3.2633,0.2594,19.7861,EF,3
26.4081,33.6304,1130.9988,30.4000,7994.9732,17.8357,73.1463,1.5050,-1.2207,0.7976,-0.4241,-0.6310,-0.4555,2.4307,15.6959,20.9507,438.9170,36.8000,6293.1679,21.6433,60.3206,1.2176,-1.0841,0.7827,-0.5114,-0.7720,-0.9203,7.1490,EF,3
25.3096,31.6142,999.4592,28.8000,7554.7082,16.4329,70.1403,1.4573,-1.1291,0.7021,-0.4138,-0.5709,0.4874,0.1400,16.3681,21.7022,470.9807,38.0000,6409.4852,21.6433,62.7255,1.1869,-1.0155,0.7544,-0.4907,0.7792,-0.9657,0.2887,EF,3
23.8950,30.0662,903.9568,29.8000,7205.0751,17.4349,67.7355,1.4045,-1.0538,0.6522,-0.4170,-0.4779,0.1263,0.2845,16.5862,22.0566,486.4930,37.6000,6458.2480,21.6433,62.3246,1.1636,-0.9305,0.6882,-0.4516,0.4437,-0.4997,-0.0181,EF,3
23.5837,30.0239,901.4372,29.2000,6950.3837,17.4349,67.5351,1.4962,-1.1484,0.6531,-0.3527,-0.4126,-0.0130,0.1715,16.3546,21.8866,478.9978,38.4000,6338.8952,21.2425,60.3206,1.1600,-0.9016,0.6152,-0.3634,0.3236,0.0277,0.1420,EF,3
21.3813,27.6195,762.8371,31.6000,6754.4637,16.8337,66.3327,1.4766,-1.1764,0.6722,-0.3484,-0.2084,0.1936,-0.1264,15.6380,21.3669,456.4754,39.4000,6420.8143,22.6453,59.9198,1.1672,-0.9879,0.6803,-0.3810,0.2626,-0.3375,0.0078,EF,3
21.9482,28.2918,800.4223,32.4000,6939.8226,17.0341,66.5331,1.4064,-1.0729,0.6632,-0.3812,-0.1539,0.1241,-0.0255,14.6577,20.2138,408.5701,37.6000,6062.2066,20.8417,58.5170,1.2107,-1.0598,0.7435,-0.4162,0.2642,-0.3843,0.0219,EF,3
24.4930,30.7768,947.2071,31.2000,7417.0926,17.4349,69.3387,1.4460,-1.1103,0.6905,-0.3991,-0.4732,-0.0245,0.1307,14.9534,20.1399,405.5690,38.0000,5819.0337,17.8357,56.9138,1.1916,-1.0196,0.7360,-0.4267,0.3557,0.0139,0.1675,EF,3
23.1183,29.1379,849.0172,31.8000,7096.2794,18.0361,70.3407,1.4536,-1.1201,0.6678,-0.3829,-0.3930,0.0943,-0.0097,16.6052,23.1845,537.5080,37.0000,6003.1317,19.4389,55.1102,1.1835,-0.9534,0.6673,-0.4288,0.5430,-0.0592,0.1002,EF,3
22.3013,28.8855,834.3497,30.8000,6778.6220,18.0361,68.1363,1.4695,-1.1166,0.6367,-0.3448,-0.0875,0.1709,-0.0157,17.3167,24.4647,598.5216,35.4000,6124.1779,19.8397,55.7114,1.2412,-1.0127,0.7372,-0.4612,0.5198,-0.1742,0.1420,EF,3
19.8721,25.6527,658.0593,31.8000,6293.8902,19.4389,66.7335,1.3643,-0.9772,0.5956,-0.3513,-0.1547,0.0909,-0.0390,16.6515,22.8134,520.4385,38.4000,6363.5373,21.8437,58.9178,1.2081,-0.9945,0.7768,-0.4945,0.3121,-0.2020,0.1217,EF,3
18.5783,23.6306,558.3174,31.2000,6041.0478,19.4389,67.3347,1.3281,-0.9247,0.5580,-0.3407,-0.2767,0.1327,-0.1905,15.3435,21.3867,457.3913,37.8000,6112.4700,22.2445,54.3086,1.1350,-0.9005,0.6563,-0.4607,0.3622,-0.1021,-0.0219,EF,3
20.0752,25.2806,639.1022,30.6000,6245.9739,18.0361,66.1323,1.3895,-1.0219,0.6402,-0.3768,-0.3453,0.3008,-0.1885,14.2918,20.5317,421.5514,37.4000,5721.4326,19.4389,52.5050,1.1411,-0.9230,0.6349,-0.4491,0.4951,-0.1131,-0.2074,EF,3
